,strDrink,strCategory,strGlass,strIngredients,Alc_type,Basic_taste,strInstructions,strMeasures,Value_ml,Value_gr,Garnish_amount,Garnish_type
0,'57 Chevy with a White License Plate,Cocktail,Highball glass,Creme De Cacao White,Creamy Liqueur,,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,1 oz white,30.0,,,
1,'57 Chevy with a White License Plate,Cocktail,Highball glass,Vodka,Vodka,,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,1 oz,30.0,,,
2,1-900-FUK-MEUP,Shot,Old-fashioned glass,Grand Marnier,Triple Sec,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,1/4 oz,7.5,,,
3,1-900-FUK-MEUP,Shot,Old-fashioned glass,Midori Melon Liqueur,Sweet Liqueur,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,1/4 oz,7.5,,,
4,1-900-FUK-MEUP,Shot,Old-fashioned glass,Malibu Rum,Rum,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,1/4 oz,7.5,,,
5,1-900-FUK-MEUP,Shot,Old-fashioned glass,Amaretto,Sweet Liqueur,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,1/4 oz,7.5,,,
6,1-900-FUK-MEUP,Shot,Old-fashioned glass,Cranberry Juice,,sour,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,1/2 oz,15.0,,,
7,1-900-FUK-MEUP,Shot,Old-fashioned glass,Pineapple Juice,,sweet,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,1/4 oz,7.5,,,
8,1-900-FUK-MEUP,Shot,Old-fashioned glass,Chambord Raspberry Liqueur,Sweet Liqueur,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,1/4 oz,7.5,,,
9,1-900-FUK-MEUP,Shot,Old-fashioned glass,Absolut Kurant,Vodka,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,1/2 oz,15.0,,,
10,110 in the shade,Beer,Beer Glass,Tequila,Tequila,,Drop shooter in glass. Fill with beer,1.5 oz,45.0,,,
11,110 in the shade,Beer,Beer Glass,Lager,Beer,,Drop shooter in glass. Fill with beer,16 oz,480.0,,,
12,151 Florida Bushwacker,Milk / Float / Shake,Beer mug,Dark Creme De Cacao,Creamy Liqueur,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,1 oz,30.0,,,
13,151 Florida Bushwacker,Milk / Float / Shake,Beer mug,Coconut Liqueur,Sweet Liqueur,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,1 oz,30.0,,,
14,151 Florida Bushwacker,Milk / Float / Shake,Beer mug,Light Rum,Rum,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,1/2 oz,15.0,,,
15,151 Florida Bushwacker,Milk / Float / Shake,Beer mug,Milk,,cream,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,3 oz,90.0,,,
16,151 Florida Bushwacker,Milk / Float / Shake,Beer mug,Cointreau,Triple Sec,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,1 oz,30.0,,,
17,151 Florida Bushwacker,Milk / Float / Shake,Beer mug,Malibu Rum,Rum,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,1/2 oz,15.0,,,
18,151 Florida Bushwacker,Milk / Float / Shake,Beer mug,Vanilla Ice-Cream,,cream,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,1 cup,,128.0,,
19,151 Florida Bushwacker,Milk / Float / Shake,Beer mug,151 Proof Rum,Rum,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,1/2 oz bacardi,15.0,,,
20,155 Belmont,Cocktail,White wine glass,Light Rum,Rum,,Blend with ice. Serve in a wine glass. Garnish with carrot.,2 shots,50.0,,,
21,155 Belmont,Cocktail,White wine glass,Orange Juice,,sweet,Blend with ice. Serve in a wine glass. Garnish with carrot.,1 shot,25.0,,,
22,155 Belmont,Cocktail,White wine glass,Vodka,Vodka,,Blend with ice. Serve in a wine glass. Garnish with carrot.,1 shot,25.0,,,
23,155 Belmont,Cocktail,White wine glass,Dark Rum,Rum,,Blend with ice. Serve in a wine glass. Garnish with carrot.,1 shot,25.0,,,
24,24k nightmare,Shot,Shot glass,Jägermeister,Bitters,,"Add over ice,shake and pour.",1/2 oz,15.0,,,
25,24k nightmare,Shot,Shot glass,Goldschlager,Schnapps,,"Add over ice,shake and pour.",1/2 oz,15.0,,,
26,24k nightmare,Shot,Shot glass,151 Proof Rum,Rum,,"Add over ice,shake and pour.",1/2 oz bacardi,15.0,,,
27,24k nightmare,Shot,Shot glass,Rumple Minze,Rum,,"Add over ice,shake and pour.",1/2 oz,15.0,,,
28,252,Shot,Shot glass,Wild Turkey,Whisky,,"Add both ingredients to shot glass, shoot, and get drunk quick",1/2 shot,12.5,,,
29,252,Shot,Shot glass,151 Proof Rum,Rum,,"Add both ingredients to shot glass, shoot, and get drunk quick",1/2 shot bacardi,12.5,,,
30,3 Wise Men,Shot,Collins glass,Jim Beam,Whisky,,put them them in a glass... and slam it to tha head.,1/3 oz,10.0,,,
31,3 Wise Men,Shot,Collins glass,Johnnie Walker,Whisky,,put them them in a glass... and slam it to tha head.,1/3 oz,10.0,,,
32,3 Wise Men,Shot,Collins glass,Jack Daniels,Whisky,,put them them in a glass... and slam it to tha head.,1/3 oz,10.0,,,
33,3-Mile Long Island Iced Tea,Ordinary Drink,Collins Glass,Light Rum,Rum,,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,1/2 oz,15.0,,,
34,3-Mile Long Island Iced Tea,Ordinary Drink,Collins Glass,Vodka,Vodka,,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,1/2 oz,15.0,,,
35,3-Mile Long Island Iced Tea,Ordinary Drink,Collins Glass,Coca-Cola,,sweet,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,,200.0,,,
36,3-Mile Long Island Iced Tea,Ordinary Drink,Collins Glass,Sweet And Sour,,sweet,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,1-2 dash,30.0,,,
37,3-Mile Long Island Iced Tea,Ordinary Drink,Collins Glass,Triple Sec,Triple Sec,,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,1/2 oz,15.0,,,
38,3-Mile Long Island Iced Tea,Ordinary Drink,Collins Glass,Bitters,Bitters,,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,1 wedge,1.0,,,
39,3-Mile Long Island Iced Tea,Ordinary Drink,Collins Glass,Lemon,,sour,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,,,,1,wedge
40,3-Mile Long Island Iced Tea,Ordinary Drink,Collins Glass,Gin,Gin,,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,1/2 oz,15.0,,,
41,3-Mile Long Island Iced Tea,Ordinary Drink,Collins Glass,Tequila,Tequila,,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,1/2 oz,15.0,,,
42,410 Gone,Ordinary Drink,Collins Glass,Coca-Cola,,sweet,"Pour 2oz Vodka into a low ball glass, top up with Coke.",,,,,
43,410 Gone,Ordinary Drink,Collins Glass,Peach Vodka,Vodka,,"Pour 2oz Vodka into a low ball glass, top up with Coke.",2-3 oz,75.0,,,
44,50/50,Ordinary Drink,Collins Glass,Orange Juice,,sweet,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,fill with,,,0,top up
45,50/50,Ordinary Drink,Collins Glass,Vanilla Vodka,Vodka,,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,2 1/2 oz,75.0,,,
46,50/50,Ordinary Drink,Collins Glass,Grand Marnier,Triple Sec,,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,1 splash,6.0,,,
47,501 Blue,Ordinary Drink,Collins Glass,Sour Mix,,sour,Mix equal amounts into a glass with ice.,,,,,
48,501 Blue,Ordinary Drink,Collins Glass,Blueberry Schnapps,Schnapps,,Mix equal amounts into a glass with ice.,,,,,
49,501 Blue,Ordinary Drink,Collins Glass,Blue Curacao,Triple Sec,,Mix equal amounts into a glass with ice.,,,,,
50,501 Blue,Ordinary Drink,Collins Glass,Vodka,Vodka,,Mix equal amounts into a glass with ice.,,,,,
51,501 Blue,Ordinary Drink,Collins Glass,7-Up,,sweet,Mix equal amounts into a glass with ice.,,,,,
52,69 Special,Ordinary Drink,Collins Glass,7-Up,,sweet,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",4 oz,120.0,,,
53,69 Special,Ordinary Drink,Collins Glass,Gin Dry,Gin,,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",2 oz dry,60.0,,,
54,69 Special,Ordinary Drink,Collins Glass,Lemon Juice,,sour,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",0.75 oz,22.5,,,
55,747,Shot,Shot glass,Bailey'S Irish Cream,Creamy Liqueur,,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",1/3 part,10.0,,,
56,747,Shot,Shot glass,Kahlua,Creamy Liqueur,,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",1/3 part,10.0,,,
57,747,Shot,Shot glass,Frangelico,Sweet Liqueur,,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",1/3 part,10.0,,,
58,9 1/2 Weeks,Cocktail,Cocktail glass,Orange Curacao,Triple Sec,,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,1/2 oz,15.0,,,
59,9 1/2 Weeks,Cocktail,Cocktail glass,Strawberry Liqueur,Sweet Liqueur,,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,1 splash,6.0,,,
60,9 1/2 Weeks,Cocktail,Cocktail glass,Orange Juice,,sweet,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,1 oz,30.0,,,
61,9 1/2 Weeks,Cocktail,Cocktail glass,Absolut Citron,Vodka,,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,2 oz,60.0,,,
62,A Day at the Beach,Ordinary Drink,Highball glass,Grenadine,,sweet,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",1/2 oz,15.0,,,
63,A Day at the Beach,Ordinary Drink,Highball glass,Amaretto,Sweet Liqueur,,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",1/2 oz,15.0,,,
64,A Day at the Beach,Ordinary Drink,Highball glass,Orange Juice,,sweet,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",4 oz,120.0,,,
65,A Day at the Beach,Ordinary Drink,Highball glass,Coconut Rum,Rum,,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",1 oz,30.0,,,
66,A Furlong Too Late,Ordinary Drink,Highball glass,Ginger Beer,,sweet,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,4 oz,120.0,,,
67,A Furlong Too Late,Ordinary Drink,Highball glass,Lemon Peel,,sour,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,1 twist of,,,1,twist
68,A Furlong Too Late,Ordinary Drink,Highball glass,Light Rum,Rum,,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,2 oz,60.0,,,
69,A Gilligan's Island,Cocktail,Collins glass,Peach Schnapps,Schnapps,,"Shaken, not stirred!",1 oz,30.0,,,
70,A Gilligan's Island,Cocktail,Collins glass,Cranberry Juice,,sour,"Shaken, not stirred!",3 oz,90.0,,,
71,A Gilligan's Island,Cocktail,Collins glass,Orange Juice,,sweet,"Shaken, not stirred!",3 oz,90.0,,,
72,A Gilligan's Island,Cocktail,Collins glass,Vodka,Vodka,,"Shaken, not stirred!",1 oz,30.0,,,
